"playerID","yearID","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","SBp","BB","SO","IBB","HBP","GIDP","SH","SF","OBP","SLG","BA","Kp","BBp","RBIp","GIDPp","Rp","SBr"
"coopesc01",1995,"SLN","NL",118,374,29,86,18,2,3,40,0,0.0000,49,85,3,3,9,0,4,0.3209302325581395,0.3128,0.2299,0.19767441860465115,0.11395348837209303,0.1070,0.02406417112299465,0.0775,0
"corajo01",1995,"SEA","AL",120,427,64,127,19,2,3,39,18,0.7200,37,31,0,6,8,13,4,0.35864978902953587,0.3724,0.2974,0.06365503080082136,0.07597535934291581,0.0913,0.01873536299765808,0.1499,0.10778443113772455
"cordewi01",1995,"MON","NL",131,514,64,147,35,2,10,49,9,0.6429,36,88,4,9,11,1,4,0.3410301953818828,0.4202,0.2860,0.15602836879432624,0.06382978723404255,0.0953,0.021400778210116732,0.1245,0.04838709677419355
"cordoma01",1995,"MIN","AL",137,512,81,142,27,4,24,84,20,0.7407,52,111,1,10,10,0,5,0.35233160621761656,0.4863,0.2773,0.19170984455958548,0.08981001727115717,0.1641,0.01953125,0.1582,0.11049723756906077
"crometr01",1995,"SLN","NL",105,345,36,78,19,0,5,18,0,NULL,14,66,2,4,14,1,5,0.2608695652173913,0.3246,0.2261,0.17886178861788618,0.037940379403794036,0.0522,0.04057971014492753,0.1043,0
"curtich01",1995,"DET","AL",144,586,96,157,29,3,21,67,27,0.6429,70,93,3,7,12,0,7,0.3492537313432836,0.4352,0.2679,0.13880597014925372,0.1044776119402985,0.1143,0.020477815699658702,0.1638,0.125
"daultda01",1995,"PHI","NL",98,342,44,85,19,3,9,55,3,1.0000,55,52,2,5,4,0,2,0.3589108910891089,0.4006,0.2485,0.12871287128712872,0.13613861386138615,0.1608,0.011695906432748537,0.1287,0.021739130434782608
"davisch01",1995,"CAL","AL",119,424,81,135,23,0,20,86,3,0.5000,89,79,12,0,12,0,9,0.42911877394636017,0.5142,0.3184,0.15134099616858238,0.17049808429118773,0.2028,0.02830188679245283,0.1910,0.013888888888888888
"deshide01",1995,"LAN","NL",127,425,66,109,18,3,8,37,39,0.7358,63,83,4,1,6,3,1,0.35306122448979593,0.3694,0.2565,0.16835699797160245,0.12778904665314403,0.0871,0.01411764705882353,0.1553,0.23076923076923078
"devermi01",1995,"CHA","AL",92,333,48,102,21,1,10,55,6,0.5000,25,51,3,0,10,0,3,0.3518005540166205,0.4655,0.3063,0.14127423822714683,0.06925207756232687,0.1652,0.03003003003003003,0.1441,0.05
"diazal01",1995,"SEA","AL",103,270,44,67,14,0,3,27,18,0.6923,13,27,2,2,3,5,2,0.2857142857142857,0.3333,0.2481,0.09246575342465753,0.04452054794520548,0.1000,0.011111111111111112,0.1630,0.2222222222222222
"disarga01",1995,"CAL","AL",99,362,61,111,28,6,5,41,7,0.6364,20,25,0,2,10,7,3,0.34366925064599485,0.4586,0.3066,0.06345177664974619,0.050761421319796954,0.1133,0.027624309392265192,0.1685,0.0546875
"dunstsh01",1995,"CHN","NL",127,477,58,141,30,6,14,69,10,0.6667,10,75,3,6,8,7,3,0.3165322580645161,0.4717,0.2956,0.14910536779324055,0.019880715705765408,0.1447,0.016771488469601678,0.1216,0.0684931506849315
